`,Season,Year,Camera,Latitude,Longitude,Date_Deployed,Date_Stopped,Habitat,Folder,Photo_num,Date,Temp_C,Time,Species,Amount,Notes
COPR,summer,2018,8.1,"34 24' 58.4"" N","119 53' 05.7"" W",8/1/2018,8/14/2018,reserve-urban,100EK113,8060310-8060315,8/6/2018,16,23:02:27,Didelphis virginiana,1,
COPR,summer,2018,8.1,"34 24' 58.4"" N","119 53' 05.7"" W",8/1/2018,8/14/2018,reserve-urban,100EK113,8070319-8070321,8/7/2018,16,0:26:41,Didelphis virginiana,1,
COPR,summer,2018,8.1,"34 24' 58.4"" N","119 53' 05.7"" W",8/1/2018,8/14/2018,reserve-urban,100EK113,8080352-8080354,8/8/2018,15,4:58:56,Didelphis virginiana,1,
COPR,summer,2018,8.1,"34 24' 58.4"" N","119 53' 05.7"" W",8/1/2018,8/14/2018,reserve-urban,100EK113,8080355-8080360,8/8/2018,15,5:07:42,Didelphis virginiana,1,
COPR,summer,2018,8.1,"34 24' 58.4"" N","119 53' 05.7"" W",8/1/2018,8/14/2018,reserve-urban,100EK113,8080355-8080360,8/8/2018,15,5:12:01,Didelphis virginiana,1,
COPR,summer,2018,8.1,"34 24' 58.4"" N","119 53' 05.7"" W",8/1/2018,8/14/2018,reserve-urban,100EK113,8080379-8080381,8/8/2018,15,20:16:56,Didelphis virginiana,1,
COPR,summer,2018,8.1,"34 24' 58.4"" N","119 53' 05.7"" W",8/1/2018,8/14/2018,reserve-urban,100EK113,8080385-8080387,8/8/2018,15,2:04:47,Didelphis virginiana,1,
COPR,summer,2018,8.1,"34 24' 58.4"" N","119 53' 05.7"" W",8/1/2018,8/14/2018,reserve-urban,100EK113,8090391-8090393,8/9/2018,15,3:42:55,Didelphis virginiana,1,
COPR,summer,2018,8.1,"34 24' 58.4"" N","119 53' 05.7"" W",8/1/2018,8/14/2018,reserve-urban,100EK113,8090397-8090405,8/9/2018,15,21:54:25,Didelphis virginiana,1,good pic of opossum!
COPR,summer,2018,8.1,"34 24' 58.4"" N","119 53' 05.7"" W",8/1/2018,8/14/2018,reserve-urban,100EK113,8090397-8090405,8/9/2018,15,22:03:34,Didelphis virginiana,1,
COPR,summer,2018,8.1,"34 24' 58.4"" N","119 53' 05.7"" W",8/1/2018,8/14/2018,reserve-urban,100EK113,8100421-8100429,8/10/2018,13,3:40:53,Didelphis virginiana,1,
COPR,summer,2018,8.1,"34 24' 58.4"" N","119 53' 05.7"" W",8/1/2018,8/14/2018,reserve-urban,100EK113,8100421-8100429,8/10/2018,13,3:47:50,Didelphis virginiana,1,
COPR,summer,2018,8.1,"34 24' 58.4"" N","119 53' 05.7"" W",8/1/2018,8/14/2018,reserve-urban,100EK113,8100421-8100429,8/10/2018,15,3:50:58,Didelphis virginiana,1,
COPR,summer,2018,8.1,"34 24' 58.4"" N","119 53' 05.7"" W",8/1/2018,8/14/2018,reserve-urban,100EK113,8110454-8110459,8/11/2018,15,20:38:02,Didelphis virginiana,1,
COPR,summer,2018,8.1,"34 24' 58.4"" N","119 53' 05.7"" W",8/1/2018,8/14/2018,reserve-urban,100EK113,8110481-8110483,8/11/2018,15,23:16:08,Didelphis virginiana,1,
COPR,summer,2018,8.1,"34 24' 58.4"" N","119 53' 05.7"" W",8/1/2018,8/14/2018,reserve-urban,100EK113,8120508-8120516,8/12/2018,15,3:26:48,Didelphis virginiana,1,"since the mice and opossum(s) are alternating, they are sharing the same range and are active at the same times of night but just not in the presence of each other...and 8120514 is a great pic of the opossum on the log even though its a tad blurry"
COPR,summer,2018,8.1,"34 24' 58.4"" N","119 53' 05.7"" W",8/1/2018,8/14/2018,reserve-urban,100EK113,8120508-8120516,8/12/2018,13,5:15:43,Didelphis virginiana,1,
COPR,summer,2018,8.1,"34 24' 58.4"" N","119 53' 05.7"" W",8/1/2018,8/14/2018,reserve-urban,100EK113,8130535-8140558,8/13/2018,15,4:02:15,Didelphis virginiana,1,
COPR,summer,2018,8.1,"34 24' 58.4"" N","119 53' 05.7"" W",8/1/2018,8/14/2018,reserve-urban,100EK113,8130535-8140558,8/13/2018,15,4:30:58,Didelphis virginiana,1,
COPR,summer,2018,8.1,"34 24' 58.4"" N","119 53' 05.7"" W",8/1/2018,8/14/2018,reserve-urban,100EK113,8130535-8140558,8/13/2018,15,22:18:25,Didelphis virginiana,1,
COPR,summer,2018,8.1,"34 24' 58.4"" N","119 53' 05.7"" W",8/1/2018,8/14/2018,reserve-urban,100EK113,8130535-8140558,8/14/2018,15,4:25:15,Didelphis virginiana,1,
COPR,summer,2018,8.1,"34 24' 58.4"" N","119 53' 05.7"" W",8/1/2018,8/14/2018,reserve-urban,100EK113,8130535-8140558,8/14/2018,15,4:27:59,Didelphis virginiana,1,
COPR,summer,2018,8.2,"34 24' 58.4"" N","119 53' 05.7"" W",8/14/2018,8/29/2018,reserve-urban,100EK113,8140025,8/14/2018,17,21:36:09,Didelphis virginiana,1,
COPR,summer,2018,8.2,"34 24' 58.4"" N","119 53' 05.7"" W",8/14/2018,8/29/2018,reserve-urban,100EK113,8140031,8/14/2018,17,21:39:10,Didelphis virginiana,1,
COPR,summer,2018,8.2,"34 24' 58.4"" N","119 53' 05.7"" W",8/14/2018,8/29/2018,reserve-urban,100EK113,8140040,8/14/2018,17,21:57:45,Didelphis virginiana,1,good pics of opossum
COPR,summer,2018,8.2,"34 24' 58.4"" N","119 53' 05.7"" W",8/14/2018,8/29/2018,reserve-urban,100EK113,8140049,8/14/2018,17,22:18:51,Didelphis virginiana,1,
COPR,summer,2018,8.2,"34 24' 58.4"" N","119 53' 05.7"" W",8/14/2018,8/29/2018,reserve-urban,100EK113,8140052,8/14/2018,17,22:20:27,Didelphis virginiana,1,
COPR,summer,2018,8.2,"34 24' 58.4"" N","119 53' 05.7"" W",8/14/2018,8/29/2018,reserve-urban,100EK113,8150073,8/15/2018,15,1:11:00,Didelphis virginiana,1,
COPR,summer,2018,8.2,"34 24' 58.4"" N","119 53' 05.7"" W",8/14/2018,8/29/2018,reserve-urban,100EK113,8150082,8/15/2018,15,1:51:14,Didelphis virginiana,1,
COPR,summer,2018,8.2,"34 24' 58.4"" N","119 53' 05.7"" W",8/14/2018,8/29/2018,reserve-urban,100EK113,8150085,8/15/2018,15,1:51:34,Didelphis virginiana,1,
COPR,summer,2018,8.2,"34 24' 58.4"" N","119 53' 05.7"" W",8/14/2018,8/29/2018,reserve-urban,100EK113,8150106,8/15/2018,15,4:21:58,Didelphis virginiana,1,
COPR,summer,2018,8.2,"34 24' 58.4"" N","119 53' 05.7"" W",8/14/2018,8/29/2018,reserve-urban,100EK113,8150109,8/15/2018,15,5:06:02,Didelphis virginiana,1,
COPR,summer,2018,8.2,"34 24' 58.4"" N","119 53' 05.7"" W",8/14/2018,8/29/2018,reserve-urban,100EK113,8150115,8/15/2018,20,20:11:43,Didelphis virginiana,1,
COPR,summer,2018,8.2,"34 24' 58.4"" N","119 53' 05.7"" W",8/14/2018,8/29/2018,reserve-urban,100EK113,8150118,8/15/2018,20,20:16:05,Didelphis virginiana,1,
COPR,summer,2018,8.2,"34 24' 58.4"" N","119 53' 05.7"" W",8/14/2018,8/29/2018,reserve-urban,100EK113,8150121,8/15/2018,20,20:17:33,Didelphis virginiana,1,
COPR,summer,2018,8.2,"34 24' 58.4"" N","119 53' 05.7"" W",8/14/2018,8/29/2018,reserve-urban,100EK113,8150124,8/15/2018,20,20:27:01,Didelphis virginiana,1,
COPR,summer,2018,8.2,"34 24' 58.4"" N","119 53' 05.7"" W",8/14/2018,8/29/2018,reserve-urban,100EK113,8150127,8/15/2018,20,20:28:30,Didelphis virginiana,1,
COPR,summer,2018,8.2,"34 24' 58.4"" N","119 53' 05.7"" W",8/14/2018,8/29/2018,reserve-urban,100EK113,8150136,8/15/2018,17,21:36:18,Didelphis virginiana,1,
COPR,summer,2018,8.2,"34 24' 58.4"" N","119 53' 05.7"" W",8/14/2018,8/29/2018,reserve-urban,100EK113,8150145,8/15/2018,16,23:48:09,Didelphis virginiana,1,
COPR,summer,2018,8.2,"34 24' 58.4"" N","119 53' 05.7"" W",8/14/2018,8/29/2018,reserve-urban,100EK113,8150148,8/15/2018,16,23:49:45,Didelphis virginiana,1,
COPR,summer,2018,8.2,"34 24' 58.4"" N","119 53' 05.7"" W",8/14/2018,8/29/2018,reserve-urban,100EK113,8150157,8/15/2018,16,23:56:31,Didelphis virginiana,1,
COPR,summer,2018,8.2,"34 24' 58.4"" N","119 53' 05.7"" W",8/14/2018,8/29/2018,reserve-urban,100EK113,8160202,8/16/2018,17,20:57:30,Didelphis virginiana,1,
COPR,summer,2018,8.2,"34 24' 58.4"" N","119 53' 05.7"" W",8/14/2018,8/29/2018,reserve-urban,100EK113,8160211,8/16/2018,17,21:00:27,Didelphis virginiana,1,good pics of opossum
COPR,summer,2018,8.2,"34 24' 58.4"" N","119 53' 05.7"" W",8/14/2018,8/29/2018,reserve-urban,100EK113,8160220,8/16/2018,16,22:31:01,Didelphis virginiana,1,
COPR,summer,2018,7.2,"34 24' 46.4"" N","119 52' 53.4"" W",8/14/2018,8/29/2018,reserve-urban,100EK113,8170172-8170177,8/17/2018,15,21:45:49,Didelphis virginiana,1,
COPR,summer,2018,8.2,"34 24' 58.4"" N","119 53' 05.7"" W",8/14/2018,8/29/2018,reserve-urban,100EK113,8170241,8/17/2018,16,2:01:44,Didelphis virginiana,1,
COPR,summer,2018,8.2,"34 24' 58.4"" N","119 53' 05.7"" W",8/14/2018,8/29/2018,reserve-urban,100EK113,8170244,8/17/2018,16,2:05:35,Didelphis virginiana,1,
COPR,summer,2018,8.2,"34 24' 58.4"" N","119 53' 05.7"" W",8/14/2018,8/29/2018,reserve-urban,100EK113,8170251,8/17/2018,15,5:21:46,Didelphis virginiana,1,
COPR,summer,2018,8.2,"34 24' 58.4"" N","119 53' 05.7"" W",8/14/2018,8/29/2018,reserve-urban,100EK113,8170259,8/17/2018,16,20:50:58,Didelphis virginiana,1,good pic of opossum 8170262
COPR,summer,2018,8.2,"34 24' 58.4"" N","119 53' 05.7"" W",8/14/2018,8/29/2018,reserve-urban,100EK113,8170268,8/17/2018,17,20:55:11,Didelphis virginiana,1,
COPR,summer,2018,8.2,"34 24' 58.4"" N","119 53' 05.7"" W",8/14/2018,8/29/2018,reserve-urban,100EK113,8170277,8/17/2018,16,23:14:29,Didelphis virginiana,1,
COPR,summer,2018,7.2,"34 24' 46.4"" N","119 52' 53.4"" W",8/14/2018,8/29/2018,reserve-urban,100EK113,8180190-8180192,8/18/2018,15,20:48:49,Didelphis virginiana,1,
COPR,summer,2018,7.2,"34 24' 46.4"" N","119 52' 53.4"" W",8/14/2018,8/29/2018,reserve-urban,100EK113,8180193-8180195,8/18/2018,15,21:14:36,Didelphis virginiana,1,
COPR,summer,2018,8.2,"34 24' 58.4"" N","119 53' 05.7"" W",8/14/2018,8/29/2018,reserve-urban,100EK113,8180298,8/18/2018,16,0:45:05,Didelphis virginiana,1,
COPR,summer,2018,8.2,"34 24' 58.4"" N","119 53' 05.7"" W",8/14/2018,8/29/2018,reserve-urban,100EK113,8180316,8/18/2018,15,4:38:08,Didelphis virginiana,1,
COPR,summer,2018,8.2,"34 24' 58.4"" N","119 53' 05.7"" W",8/14/2018,8/29/2018,reserve-urban,100EK113,8180322,8/18/2018,15,4:44:10,Didelphis virginiana,1,
COPR,summer,2018,8.2,"34 24' 58.4"" N","119 53' 05.7"" W",8/14/2018,8/29/2018,reserve-urban,100EK113,8180325,8/18/2018,15,4:47:24,Didelphis virginiana,1,
COPR,summer,2018,8.2,"34 24' 58.4"" N","119 53' 05.7"" W",8/14/2018,8/29/2018,reserve-urban,100EK113,8180331,8/18/2018,15,4:48:03,Didelphis virginiana,1,
COPR,summer,2018,8.2,"34 24' 58.4"" N","119 53' 05.7"" W",8/14/2018,8/29/2018,reserve-urban,100EK113,8180339,8/18/2018,15,5:44:26,Didelphis virginiana,1,
COPR,summer,2018,8.2,"34 24' 58.4"" N","119 53' 05.7"" W",8/14/2018,8/29/2018,reserve-urban,100EK113,8180352,8/18/2018,16,20:38:15,Didelphis virginiana,1,
COPR,summer,2018,8.2,"34 24' 58.4"" N","119 53' 05.7"" W",8/14/2018,8/29/2018,reserve-urban,100EK113,8180358,8/18/2018,16,20:39:15,Didelphis virginiana,1,
COPR,summer,2018,8.2,"34 24' 58.4"" N","119 53' 05.7"" W",8/14/2018,8/29/2018,reserve-urban,100EK113,8180364,8/18/2018,16,20:40:43,Didelphis virginiana,1,
COPR,summer,2018,8.2,"34 24' 58.4"" N","119 53' 05.7"" W",8/14/2018,8/29/2018,reserve-urban,100EK113,8180367,8/18/2018,16,20:50:28,Didelphis virginiana,1,
COPR,summer,2018,8.2,"34 24' 58.4"" N","119 53' 05.7"" W",8/14/2018,8/29/2018,reserve-urban,100EK113,8180373,8/18/2018,16,21:15:18,Didelphis virginiana,1,
COPR,summer,2018,8.2,"34 24' 58.4"" N","119 53' 05.7"" W",8/14/2018,8/29/2018,reserve-urban,100EK113,8180391,8/18/2018,15,22:30:49,Didelphis virginiana,1,
COPR,summer,2018,8.2,"34 24' 58.4"" N","119 53' 05.7"" W",8/14/2018,8/29/2018,reserve-urban,100EK113,8180394,8/18/2018,15,22:31:49,Didelphis virginiana,1,good opossum pic
COPR,summer,2018,8.2,"34 24' 58.4"" N","119 53' 05.7"" W",8/14/2018,8/29/2018,reserve-urban,100EK113,8180403,8/18/2018,15,22:37:04,Didelphis virginiana,1,
COPR,summer,2018,8.2,"34 24' 58.4"" N","119 53' 05.7"" W",8/14/2018,8/29/2018,reserve-urban,100EK113,8180418,8/18/2018,16,22:38:14,Didelphis virginiana,1,
COPR,summer,2018,8.2,"34 24' 58.4"" N","119 53' 05.7"" W",8/14/2018,8/29/2018,reserve-urban,100EK113,8190427,8/19/2018,15,5:06:36,Didelphis virginiana,1,
COPR,summer,2018,8.2,"34 24' 58.4"" N","119 53' 05.7"" W",8/14/2018,8/29/2018,reserve-urban,100EK113,8190430,8/19/2018,15,5:14:25,Didelphis virginiana,1,
COPR,summer,2018,8.2,"34 24' 58.4"" N","119 53' 05.7"" W",8/14/2018,8/29/2018,reserve-urban,100EK113,8190436,8/19/2018,15,5:15:32,Didelphis virginiana,1,
COPR,summer,2018,8.2,"34 24' 58.4"" N","119 53' 05.7"" W",8/14/2018,8/29/2018,reserve-urban,100EK113,8190442,8/19/2018,15,5:33:05,Didelphis virginiana,1,
COPR,summer,2018,8.2,"34 24' 58.4"" N","119 53' 05.7"" W",8/14/2018,8/29/2018,reserve-urban,100EK113,8190449,8/19/2018,15,5:35:54,Didelphis virginiana,1,
COPR,summer,2018,8.2,"34 24' 58.4"" N","119 53' 05.7"" W",8/14/2018,8/29/2018,reserve-urban,100EK113,8190457,8/19/2018,16,20:48:03,Didelphis virginiana,1,
COPR,summer,2018,8.2,"34 24' 58.4"" N","119 53' 05.7"" W",8/14/2018,8/29/2018,reserve-urban,100EK113,8190463,8/19/2018,16,20:51:55,Didelphis virginiana,1,
COPR,summer,2018,8.2,"34 24' 58.4"" N","119 53' 05.7"" W",8/14/2018,8/29/2018,reserve-urban,100EK113,8190466,8/19/2018,16,21:13:57,Didelphis virginiana,1,
COPR,summer,2018,8.2,"34 24' 58.4"" N","119 53' 05.7"" W",8/14/2018,8/29/2018,reserve-urban,100EK113,8190472,8/19/2018,16,22:11:56,Didelphis virginiana,1,
COPR,summer,2018,8.2,"34 24' 58.4"" N","119 53' 05.7"" W",8/14/2018,8/29/2018,reserve-urban,100EK113,8190475,8/19/2018,16,22:13:46,Didelphis virginiana,1,
COPR,summer,2018,8.2,"34 24' 58.4"" N","119 53' 05.7"" W",8/14/2018,8/29/2018,reserve-urban,100EK113,8190481,8/19/2018,16,22:28:57,Didelphis virginiana,1,
COPR,summer,2018,8.2,"34 24' 58.4"" N","119 53' 05.7"" W",8/14/2018,8/29/2018,reserve-urban,100EK113,8190487,8/19/2018,16,22:35:54,Didelphis virginiana,1,funny opossum pic
COPR,summer,2018,8.2,"34 24' 58.4"" N","119 53' 05.7"" W",8/14/2018,8/29/2018,reserve-urban,100EK113,8190490,8/19/2018,16,22:37:12,Didelphis virginiana,1,
COPR,summer,2018,8.2,"34 24' 58.4"" N","119 53' 05.7"" W",8/14/2018,8/29/2018,reserve-urban,100EK113,8200502,8/20/2018,15,2:34:08,Didelphis virginiana,1,
COPR,summer,2018,8.2,"34 24' 58.4"" N","119 53' 05.7"" W",8/14/2018,8/29/2018,reserve-urban,100EK113,8200508,8/20/2018,15,2:35:33,Didelphis virginiana,1,
COPR,summer,2018,8.2,"34 24' 58.4"" N","119 53' 05.7"" W",8/14/2018,8/29/2018,reserve-urban,100EK113,8200523,8/20/2018,15,2:45:32,Didelphis virginiana,1,
COPR,summer,2018,8.2,"34 24' 58.4"" N","119 53' 05.7"" W",8/14/2018,8/29/2018,reserve-urban,100EK113,8200535,8/20/2018,15,4:01:45,Didelphis virginiana,1,
COPR,summer,2018,8.2,"34 24' 58.4"" N","119 53' 05.7"" W",8/14/2018,8/29/2018,reserve-urban,100EK113,8200538,8/20/2018,15,4:08:17,Didelphis virginiana,1,
COPR,summer,2018,8.2,"34 24' 58.4"" N","119 53' 05.7"" W",8/14/2018,8/29/2018,reserve-urban,100EK113,8200547,8/20/2018,15,5:22:38,Didelphis virginiana,1,
COPR,summer,2018,8.2,"34 24' 58.4"" N","119 53' 05.7"" W",8/14/2018,8/29/2018,reserve-urban,100EK113,8200556,8/20/2018,15,5:24:17,Didelphis virginiana,1,
COPR,summer,2018,8.2,"34 24' 58.4"" N","119 53' 05.7"" W",8/14/2018,8/29/2018,reserve-urban,100EK113,8200571,8/20/2018,16,20:06:49,Didelphis virginiana,1,
COPR,summer,2018,8.2,"34 24' 58.4"" N","119 53' 05.7"" W",8/14/2018,8/29/2018,reserve-urban,100EK113,8200574,8/20/2018,16,20:17:07,Didelphis virginiana,1,
COPR,summer,2018,8.2,"34 24' 58.4"" N","119 53' 05.7"" W",8/14/2018,8/29/2018,reserve-urban,100EK113,8200580,8/20/2018,16,20:19:31,Didelphis virginiana,1,
COPR,summer,2018,8.2,"34 24' 58.4"" N","119 53' 05.7"" W",8/14/2018,8/29/2018,reserve-urban,100EK113,8200589,8/20/2018,15,21:03:53,Didelphis virginiana,1,
COPR,summer,2018,8.2,"34 24' 58.4"" N","119 53' 05.7"" W",8/14/2018,8/29/2018,reserve-urban,100EK113,8200592,8/20/2018,15,22:02:10,Didelphis virginiana,1,
COPR,summer,2018,8.2,"34 24' 58.4"" N","119 53' 05.7"" W",8/14/2018,8/29/2018,reserve-urban,100EK113,8200598,8/20/2018,15,22:04:16,Didelphis virginiana,1,
COPR,summer,2018,8.2,"34 24' 58.4"" N","119 53' 05.7"" W",8/14/2018,8/29/2018,reserve-urban,100EK113,8210616,8/21/2018,15,1:37:05,Didelphis virginiana,1,good opossum pic
COPR,summer,2018,8.2,"34 24' 58.4"" N","119 53' 05.7"" W",8/14/2018,8/29/2018,reserve-urban,100EK113,8210628,8/21/2018,15,1:43:49,Didelphis virginiana,1,
COPR,summer,2018,8.2,"34 24' 58.4"" N","119 53' 05.7"" W",8/14/2018,8/29/2018,reserve-urban,100EK113,8210631,8/21/2018,15,1:45:17,Didelphis virginiana,1,
COPR,summer,2018,8.2,"34 24' 58.4"" N","119 53' 05.7"" W",8/14/2018,8/29/2018,reserve-urban,100EK113,8210634,8/21/2018,15,4:24:03,Didelphis virginiana,1,
COPR,summer,2018,8.2,"34 24' 58.4"" N","119 53' 05.7"" W",8/14/2018,8/29/2018,reserve-urban,100EK113,8210646,8/21/2018,15,5:40:30,Didelphis virginiana,1,
COPR,summer,2018,8.2,"34 24' 58.4"" N","119 53' 05.7"" W",8/14/2018,8/29/2018,reserve-urban,100EK113,8210656,8/21/2018,17,20:16:58,Didelphis virginiana,1,
COPR,summer,2018,8.2,"34 24' 58.4"" N","119 53' 05.7"" W",8/14/2018,8/29/2018,reserve-urban,100EK113,8210661,8/21/2018,17,20:20:30,Didelphis virginiana,1,
COPR,summer,2018,8.2,"34 24' 58.4"" N","119 53' 05.7"" W",8/14/2018,8/29/2018,reserve-urban,100EK113,8210667,8/21/2018,16,20:33:26,Didelphis virginiana,1,
COPR,summer,2018,7.2,"34 24' 46.4"" N","119 52' 53.4"" W",8/14/2018,8/29/2018,reserve-urban,100EK113,8220319-8220327,8/22/2018,13,21:29:03,Didelphis virginiana,1,same spot on left
COPR,summer,2018,8.2,"34 24' 58.4"" N","119 53' 05.7"" W",8/14/2018,8/29/2018,reserve-urban,100EK113,8220676,8/22/2018,15,0:17:27,Didelphis virginiana,1,
COPR,summer,2018,8.2,"34 24' 58.4"" N","119 53' 05.7"" W",8/14/2018,8/29/2018,reserve-urban,100EK113,8220685,8/22/2018,15,0:19:08,Didelphis virginiana,1,
COPR,summer,2018,8.2,"34 24' 58.4"" N","119 53' 05.7"" W",8/14/2018,8/29/2018,reserve-urban,100EK113,8220694,8/22/2018,15,0:20:18,Didelphis virginiana,1,
COPR,summer,2018,8.2,"34 24' 58.4"" N","119 53' 05.7"" W",8/14/2018,8/29/2018,reserve-urban,100EK113,8220697,8/22/2018,15,0:23:09,Didelphis virginiana,1,
COPR,summer,2018,8.2,"34 24' 58.4"" N","119 53' 05.7"" W",8/14/2018,8/29/2018,reserve-urban,100EK113,8220706,8/22/2018,15,1:17:21,Didelphis virginiana,1,
COPR,summer,2018,8.2,"34 24' 58.4"" N","119 53' 05.7"" W",8/14/2018,8/29/2018,reserve-urban,100EK113,8220715,8/22/2018,15,1:54:54,Didelphis virginiana,1,
COPR,summer,2018,8.2,"34 24' 58.4"" N","119 53' 05.7"" W",8/14/2018,8/29/2018,reserve-urban,100EK113,8220736,8/22/2018,16,20:45:52,Didelphis virginiana,1,
COPR,summer,2018,7.2,"34 24' 46.4"" N","119 52' 53.4"" W",8/14/2018,8/29/2018,reserve-urban,100EK113,8230331-8230336,8/23/2018,10,3:05:24,Didelphis virginiana,1,same spot on left
COPR,summer,2018,8.2,"34 24' 58.4"" N","119 53' 05.7"" W",8/14/2018,8/29/2018,reserve-urban,100EK113,8230742,8/23/2018,13,1:00:27,Didelphis virginiana,1,
COPR,summer,2018,8.2,"34 24' 58.4"" N","119 53' 05.7"" W",8/14/2018,8/29/2018,reserve-urban,100EK113,8230745,8/23/2018,12,2:39:05,Didelphis virginiana,1,
COPR,summer,2018,8.2,"34 24' 58.4"" N","119 53' 05.7"" W",8/14/2018,8/29/2018,reserve-urban,100EK113,8230748,8/23/2018,12,3:14:01,Didelphis virginiana,1,
COPR,summer,2018,8.2,"34 24' 58.4"" N","119 53' 05.7"" W",8/14/2018,8/29/2018,reserve-urban,100EK113,8230754,8/23/2018,12,3:15:19,Didelphis virginiana,1,
COPR,summer,2018,8.2,"34 24' 58.4"" N","119 53' 05.7"" W",8/14/2018,8/29/2018,reserve-urban,100EK113,8230757,8/23/2018,12,3:17:43,Didelphis virginiana,1,
COPR,summer,2018,8.2,"34 24' 58.4"" N","119 53' 05.7"" W",8/14/2018,8/29/2018,reserve-urban,100EK113,8230760,8/23/2018,12,3:18:01,Didelphis virginiana,1,
COPR,summer,2018,8.2,"34 24' 58.4"" N","119 53' 05.7"" W",8/14/2018,8/29/2018,reserve-urban,100EK113,8230781,8/23/2018,17,20:36:35,Didelphis virginiana,1,
COPR,summer,2018,8.2,"34 24' 58.4"" N","119 53' 05.7"" W",8/14/2018,8/29/2018,reserve-urban,100EK113,8230787,8/23/2018,16,21:02:10,Didelphis virginiana,1,
COPR,summer,2018,8.2,"34 24' 58.4"" N","119 53' 05.7"" W",8/14/2018,8/29/2018,reserve-urban,100EK113,8230793,8/23/2018,16,21:09:29,Didelphis virginiana,1,
COPR,summer,2018,8.2,"34 24' 58.4"" N","119 53' 05.7"" W",8/14/2018,8/29/2018,reserve-urban,100EK113,8230802,8/23/2018,16,21:10:17,Didelphis virginiana,1,
COPR,summer,2018,8.2,"34 24' 58.4"" N","119 53' 05.7"" W",8/14/2018,8/29/2018,reserve-urban,100EK113,8230806,8/23/2018,17,21:10:31,Didelphis virginiana,1,
COPR,summer,2018,8.2,"34 24' 58.4"" N","119 53' 05.7"" W",8/14/2018,8/29/2018,reserve-urban,100EK113,8230808,8/23/2018,16,21:13:20,Didelphis virginiana,1,
COPR,summer,2018,8.2,"34 24' 58.4"" N","119 53' 05.7"" W",8/14/2018,8/29/2018,reserve-urban,100EK113,8230814,8/23/2018,16,21:14:26,Didelphis virginiana,1,
COPR,summer,2018,8.2,"34 24' 58.4"" N","119 53' 05.7"" W",8/14/2018,8/29/2018,reserve-urban,100EK113,8230820,8/23/2018,15,23:32:31,Didelphis virginiana,1,
COPR,summer,2018,8.2,"34 24' 58.4"" N","119 53' 05.7"" W",8/14/2018,8/29/2018,reserve-urban,100EK113,8240835,8/24/2018,17,20:02:31,Didelphis virginiana,1,
COPR,summer,2018,8.2,"34 24' 58.4"" N","119 53' 05.7"" W",8/14/2018,8/29/2018,reserve-urban,100EK113,8250838,8/25/2018,15,0:06:26,Didelphis virginiana,1,
COPR,summer,2018,8.2,"34 24' 58.4"" N","119 53' 05.7"" W",8/14/2018,8/29/2018,reserve-urban,100EK113,8250844,8/25/2018,15,0:11:55,Didelphis virginiana,1,
COPR,summer,2018,8.2,"34 24' 58.4"" N","119 53' 05.7"" W",8/14/2018,8/29/2018,reserve-urban,100EK113,8250850,8/25/2018,15,2:54:34,Didelphis virginiana,1,
